ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
4227855,HL534770,08/07/2005 07:15:00 AM,019XX N CENTRAL AV OVERPASS,0810,THEFT,OVER $500,STREET,false,false,2515,025,29,25,06,,,2005,08/17/2015 03:03:40 PM,,,,,,,,,,,
5145265,HM742840,10/01/2005 09:00:00 AM,035XX W CERMAK RD,0810,THEFT,OVER $500,OTHER,true,false,1024,010,22,30,06,,,2005,08/17/2015 03:03:40 PM,,,,,,,,,,,
11227511,JB138757,01/01/2005 12:01:00 AM,117XX S WALLACE ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,0524,005,34,53,17,,,2005,02/16/2019 03:59:01 PM,,,,,,,,,,,
11614117,JC174793,06/01/2005 08:00:00 AM,028XX N CLARK ST,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,true,false,1934,019,44,6,02,,,2005,03/21/2020 03:44:56 PM,,,,,,,,,,,
10603841,HZ355935,10/24/2005 12:00:00 AM,010XX W MONTROSE AVE,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,false,false,1914,019,46,3,10,,,2005,07/23/2016 03:50:11 PM,,,,,,,,,,,
11257787,JB187896,09/09/2005 12:01:00 AM,098XX S YATES AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0431,004,10,51,11,,,2005,10/27/2018 04:00:07 PM,,,,,,,,,,,
11013888,HZ570585,11/28/2005 12:01:00 AM,002XX E 79TH ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,0623,006,6,44,20,,,2005,07/15/2017 03:51:24 PM,,,,,,,,,,,
11052330,JA388480,06/01/2005 06:50:00 PM,022XX S WOOD ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,true,1034,010,25,31,02,,,2005,08/19/2017 03:50:07 PM,,,,,,,,,,,
11055445,JA392193,12/05/2005 12:00:00 PM,009XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,0123,001,2,32,11,,,2005,08/19/2017 03:50:07 PM,,,,,,,,,,,
10828474,HZ554874,09/24/2005 12:00:00 AM,029XX S STATE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,false,true,0133,001,3,35,02,,,2005,07/22/2017 03:50:28 PM,,,,,,,,,,,
3819540,HL189327,02/17/2005 03:00:00 PM,100XX W OHARE ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,false,false,1651,016,41,76,08B,,,2005,08/17/2015 03:03:40 PM,,,,,,,,,,,
3841764,HL214422,03/04/2005 01:00:00 AM,050XX S UNION AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0935,009,3,61,07,,,2005,08/17/2015 03:03:40 PM,,,,,,,,,,,
4815507,HM428294,07/20/2005 12:00:00 AM,031XX W CERMAK RD,0820,THEFT,$500 AND UNDER,GAS STATION,false,false,1022,010,24,30,06,,,2005,08/17/2015 03:03:40 PM,,,,,,,,,,,
5015844,HM624195,07/15/2005 09:00:00 AM,004XX E 133RD ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,0533,005,9,54,10,,,2005,08/17/2015 03:03:40 PM,,,,,,,,,,,
10436841,HZ174192,06/11/2005 05:00:00 PM,009XX W LAWRENCE AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,false,false,1914,019,46,3,26,,,2005,03/05/2016 03:44:16 PM,,,,,,,,,,,
10062784,HY251107,01/01/2005 12:00:00 PM,052XX W NEWPORT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1634,016,30,15,08B,,,2005,10/27/2018 04:00:07 PM,,,,,,,,,,,
10066989,HY255692,06/01/2005 12:00:00 PM,023XX W 113TH PL,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,NURSING HOME/RETIREMENT HOME,false,false,2212,022,19,75,12,,,2005,08/31/2015 03:43:09 PM,,,,,,,,,,,
10928418,JA154780,01/01/2005 12:00:00 AM,0000X E 118TH PL,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,true,false,0532,005,9,53,02,,,2005,05/27/2017 03:50:48 PM,,,,,,,,,,,
10092975,HY281333,01/01/2005 10:00:00 PM,012XX S SAWYER AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,false,false,1022,010,24,29,02,,,2005,03/21/2020 03:44:56 PM,,,,,,,,,,,
10146252,HY335008,01/01/2005 12:00:00 PM,080XX S BLACKSTONE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0411,004,8,45,11,,,2005,08/31/2015 03:43:09 PM,,,,,,,,,,,
10213815,HY399534,01/07/2005 12:00:00 AM,014XX N SEDGWICK ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1821,018,27,8,11,,,2005,08/31/2015 03:43:09 PM,,,,,,,,,,,
10246286,HY434345,08/18/2005 12:00:00 AM,021XX S FAIRFIELD AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1023,010,28,30,02,,,2005,09/30/2015 03:35:37 PM,,,,,,,,,,,
10865272,JA171875,01/01/2005 12:00:00 AM,041XX S MAPLEWOOD AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,false,0921,009,12,58,02,,,2005,07/08/2017 03:48:02 PM,,,,,,,,,,,
10347530,HY537598,05/05/2005 01:45:00 PM,005XX N LARAMIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1532,015,28,25,11,,,2005,12/19/2015 03:58:51 PM,,,,,,,,,,,
10349082,HY539970,05/17/2005 12:00:00 AM,024XX N MONITOR AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,2515,025,37,19,20,,,2005,12/26/2015 03:53:48 PM,,,,,,,,,,,
12248134,JD462012,05/18/2005 07:00:00 PM,058XX W MELROSE ST,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,true,true,1633,016,30,15,17,,,2005,05/08/2021 04:48:55 PM,,,,,,,,,,,
11301713,JB245668,08/01/2005 04:00:00 PM,025XX S TRUMBULL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1024,010,22,30,11,,,2005,05/05/2018 03:54:51 PM,,,,,,,,,,,
11301656,JB239149,01/04/2005 12:01:00 AM,014XX W LUNT AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,false,2423,024,49,1,02,,,2005,10/13/2018 03:55:12 PM,,,,,,,,,,,
11336346,JB289085,03/31/2005 12:01:00 AM,078XX S ABERDEEN ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0612,006,17,71,17,,,2005,06/09/2018 03:50:10 PM,,,,,,,,,,,
11353928,JB303093,03/05/2005 07:00:00 AM,034XX W 83RD ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,0834,008,18,70,17,,,2005,02/16/2019 03:59:01 PM,,,,,,,,,,,
11385269,JB356256,08/17/2005 12:00:00 PM,013XX N SPRINGFIELD AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,true,2535,025,26,23,10,,,2005,10/27/2018 04:00:07 PM,,,,,,,,,,,
11401742,JB377557,01/01/2005 12:00:00 AM,037XX W MYRICK ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,0833,008,18,70,17,,,2005,03/09/2019 03:58:58 PM,,,,,,,,,,,
11403891,JB380416,10/04/2005 12:00:00 AM,029XX N SAWYER AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,1412,014,35,21,17,,,2005,08/18/2018 03:52:47 PM,,,,,,,,,,,
11439397,JB426053,12/30/2005 09:00:00 AM,032XX W 65TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0831,008,17,66,11,,,2005,10/27/2018 04:00:07 PM,,,,,,,,,,,
11441880,JB429591,07/25/2005 08:00:00 AM,031XX N WASHTENAW AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1411,014,33,21,11,,,2005,10/27/2018 04:00:07 PM,,,,,,,,,,,
11445837,JB434837,01/01/2005 12:01:00 AM,050XX N LAWNDALE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,false,true,1712,017,39,14,17,,,2005,02/16/2019 03:59:01 PM,,,,,,,,,,,
12026434,JD204979,06/01/2005 12:00:00 PM,063XX S JUSTINE ST,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,APARTMENT,false,false,0725,007,16,67,02,,,2005,04/11/2020 03:48:37 PM,,,,,,,,,,,
11527327,JB542545,10/08/2005 12:01:00 AM,082XX S ST LAWRENCE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,0631,006,6,44,02,,,2005,12/08/2018 04:15:33 PM,,,,,,,,,,,
11524460,JB538780,01/03/2005 10:10:00 AM,014XX S KEELER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1011,010,24,29,11,,,2005,12/08/2018 04:15:33 PM,,,,,,,,,,,
11532741,JB547360,07/21/2005 09:00:00 AM,006XX E 89TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0633,006,6,44,11,,,2005,12/15/2018 04:10:10 PM,,,,,,,,,,,
11561840,JC110372,01/09/2005 10:50:00 AM,083XX S MERRILL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0412,004,7,46,11,,,2005,01/18/2019 09:37:14 AM,,,,,,,,,,,
11572450,JC122808,05/20/2005 09:00:00 AM,053XX S FAIRFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0923,009,14,63,11,,,2005,01/26/2019 04:10:34 PM,,,,,,,,,,,
11511011,JB520969,11/18/2005 04:00:00 PM,054XX W CHICAGO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1524,015,37,25,11,,,2005,11/24/2018 04:09:12 PM,,,,,,,,,,,
11579752,JC132156,01/25/2005 12:00:00 AM,065XX S INGLESIDE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0321,003,20,42,11,,,2005,02/02/2019 04:07:45 PM,,,,,,,,,,,
